Year,Title,ImageFilename,VideoFilename,PDFFilename,Category,Dimensions,Material,Description
2024,"hold me tight and never let me go (stockholm syndrome),",DSC0523.jpg,,,Sculpture,52” x 36”,"Assorted used stuffed animals, thread, towel rack, hardware",art
2024,it came from under the radiator,DSC0530.jpg,,,Sculpture,52” x 36”,"Stuffed animals, toy baby, care bear heart",art
2024,cute kills,DSC0531.jpg,,,Sculpture,52” x 36”,"stuffed animals, nails",art
2024,colt cult,DSC0549-Enhanced-NR-2.jpg,,,Sculpture,52” x 36”,"Colored pencil, computer paper, steel tubing, sheet steel, jibitz",art
2024,teddy bear,"DSC0819.jpg,  DSC0836.jpg, DSC0840.jpg",,,Sculpture,52” x 36”,"assorted teddybears, thread, armature wire",art
2024,uncle same,"DSC0878.jpg, DSC0879.jpg, DSC0881.jpg, DSC0885.jpg",,,Sculpture,52” x 36”,"used tie, armature wire, thread, prince albert piercing",art
2024,business and pleasure,DSC1030-2.jpg,,`,Sculpture,52” x 36”,"brooks brothers button down, rivets",art
2024,untitled extacy,DSC1102-2.jpg,,,Sculpture,52” x 36”,"worn tank top, sweat, spit, semen, dirt, cigarette ash, plywood, pins, paint",art
2024,submission held,"DSC1174.jpg, DSC1177.jpg, DSC1184.jpg",,,Sculpture,59” x 49” x 1.5”,"used wrestling singlet, fake gold tacks, plywood, leather tassels made using scraps from gay sex shop",art
2024,equinox made me do it,IMG_9236.jpg,,,Sculpture,52” x 36”,"used wrestling singlet, fake gold tacks, plywood, leather tassels made using scraps from gay sex shop",art
2023,Irrigation Strategy,DSC0079.jpg,,,Sculpture,"13 x 18 x 15"",",Ceramic,art
2023,it’s only a matter of time before they eat us alive (cannibalization of labor,"DSC0511.jpg, DSC0514-2.jpg",,,Sculpture,"13 x 18 x 15"",","Steel Chain, Found Nike Shoes, Hardwar",art
2023,soft brick,"DSC0542.jpg, DSC0544.jpg",,,Sculpture,"13 x 18 x 15"",","yarn, rug cloth, drop cloth, label",art
2023,sculpchair #1,DSC0772.jpg,,,Sculpture,"13 x 18 x 15"",","foam, fiberglass, plaster, paint",art
2023,sculpchair #2,"DSC0793.jpg, DSC0801.jpg",,,Sculpture,"13 x 18 x 15"",","foam, fiberglass, plaster, paint",art
2023,sculpchair 3,"DSC0961-2.jpg, DSC0965.jpg, DSC0980.jpg",,,Sculpture,"13 x 18 x 15"",","foam, fiberglass, plaster, paint",art
2023,bleed out,DSC1068.jpg,,,Sculpture,"14 x 18 x 15"",","brooks brothers button down, ink, pen",art
2023,rapunzel stool,IMG_9221.jpg,,,Sculpture,"15 x 18 x 15"",","brooks brothers button down, ink, pen",art
2023,the white ribbon,the white ribbon.jpg,,,Sculpture,"16 x 18 x 15"",","brooks brothers button down, ink, pen",art
2021,consistent inconsistencies,DSC8191.jpg,,,Sculpture,"17 x 18 x 15"",","display turntable, navigational compass",art
2020,Proejct PEP ,,,"projectpep.pdf, projectpep(digital).pdf",Publication,Not Applicable,Not applicable,art
2020,sac en papier,DSC7707.jpg,,,Sculpture,"18 x 18 x 15"",","marker, grocery bag",art
2020,pants with nobody inside them,DSC7851.jpg,,,Sculpture,"19 x 18 x 15"",","old jeans, fabric stiffiner, bricks",art
2020,wedgewood teacup,DSC8123.jpg,,,Sculpture,"20 x 18 x 15"",","old jeans, fabric stiffiner, bricks",art
2020,shaker chair,DSC8444.jpg,,,Sculpture,"21 x 18 x 15"",","packing peanuts, glue",art
2019,New Monument 5,NM5.jpg,,,Sculpture,"22 x 18 x 15"",","packing peanuts, glue",art
2019,New Monument 6,NM6.jpg,,,Sculpture,"23 x 18 x 15"",","packing peanuts, glue",art
2019,New Monument 7,NM7.jpg,,,Sculpture,"24 x 18 x 15"",","packing peanuts, glue",art
2019,New Monument 8,NM8.jpg,,,Sculpture,"25 x 18 x 15"",","packing peanuts, glue",art
2019,New Monument 9,NM9.jpg,,,Sculpture,"26 x 18 x 15"",","packing peanuts, glue",art
2019,New Monument 10,NM10.jpg,,,Sculpture,"27 x 18 x 15"",","packing peanuts, glue",art
2019,New Monument 11,NM11.jpg,,,Sculpture,"28 x 18 x 15"",","packing peanuts, glue",art
2019,New Monument 12,NM12.jpg,,,Sculpture,"29 x 18 x 15"",","packing peanuts, glue",art
2018,louis mop,"LOUIS MOP.jpeg, LV MOP 3.jpeg",,,Sculpture,"30 x 18 x 15"",","packing peanuts, glue",art
2018,New Monument 1,NM1.jpg,,,Sculpture,"31 x 18 x 15"",","packing peanuts, glue",art
2018,New Monument 2,NM2.jpg,,,Sculpture,"32 x 18 x 15"",","packing peanuts, glue",art
2018,New Monument 3,NM3.jpg,,,Sculpture,"33 x 18 x 15"",","packing peanuts, glue",art
2018,New Monument 4,NM4.jpg,,,Sculpture,"34 x 18 x 15"",","foam, fiberglass, plaster, paint",art
2017,Saint Laurent Loulou,"YSL FRONT.jpeg, YSL BACK.jpeg",,,Sculpture,"34 x 18 x 15"",","foam, fiberglass, plaster, paint",v
2016,44cm Birkin,BIRKIN.jpeg,,,Sculpture,"34 x 18 x 15"",",CERAMIC,art
2016,Loop 1,RED.jpeg,,,Sculpture,"34 x 18 x 15"",",ceramic paint,art
